caller	provider	method	path_template	interface	method_name	body_type	return_type	resolved_by	claim
echo	fiat	GET	authorize/{userId}	FiatService	getUserPermission	-	Call<UserPermission.View>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:36
echo	fiat	GET	authorize/{userId}/{resourceType}/{resourceName}/{authorization}	FiatService	hasAuthorization	-	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:46
echo	fiat	POST	authorize/{userId}/{resourceType}/create	FiatService	canCreate	Object	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:61
echo	fiat	POST	roles/sync	FiatService	sync	-	Call<Long>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:72
echo	fiat	POST	roles/sync	FiatService	sync	List<String>	Call<Long>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:81
echo	fiat	POST	roles/sync/serviceAccount/{serviceAccountId}	FiatService	syncServiceAccount	List<String>	Call<Long>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:92
echo	fiat	POST	roles/{userId}	FiatService	loginUser	-	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:100
echo	fiat	PUT	roles/{userId}	FiatService	loginWithRoles	Collection<String>	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:110
echo	fiat	DELETE	roles/{userId}	FiatService	logoutUser	-	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:117
igor	echo	POST	.	EchoService	postEvent	Event	Call<String>	services.echo.baseUrl (EchoConfig.echoService)	igor@v4.22.0 igor-core/src/main/java/com/netflix/spinnaker/igor/history/EchoService.java:26
igor	keel	POST	artifacts/events	KeelService	sendArtifactEvent	Map	Call<Void>	keel.base-url (KeelConfig.keelService)	igor@v4.22.0 igor-core/src/main/java/com/netflix/spinnaker/igor/keel/KeelService.java:28
igor	front50	GET	pluginInfo	Front50Service	listPluginInfo	-	Call<List<PluginInfo>>	services.front50.baseUrl (PluginMonitorConfig.pluginReleaseService)	igor@v4.22.0 igor-monitor-plugins/src/main/java/com/netflix/spinnaker/igor/plugins/front50/Front50Service.java:25
igor	clouddriver	GET	dockerRegistry/images/find	ClouddriverService	getImagesByAccount	-	Call<List<TaggedImage>>	services.clouddriver.baseUrl (DockerRegistryConfig.dockerRegistryProxyService)	igor@v4.22.0 igor-web/src/main/groovy/com/netflix/spinnaker/igor/docker/service/ClouddriverService.groovy:30
