caller	provider	method	caller_path	norm_path	provider_path	provider_claim	candidates	caller_body	caller_return	provider_body	provider_return	s2_typing	untyped_as_written	untyped_refined	both_sides_untyped_as_written	edge_claim
gate	clouddriver	GET	/applications/{application}/serverGroups/{account}/{serverGroupName}/events	/applications/{}/serverGroups/{}/{}/events	/applications/{application}/serverGroups/{account}/{serverGroupName}/events	CLAIM-S2-R0352	2	-	Call<List<Map>>	-	ResponseEntity<?>(raw)	untyped-return	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:373
gate	clouddriver	GET	/servicebroker/{account}/services	/servicebroker/{}/services	/servicebroker/{account}/services	CLAIM-S2-R0447	1	-	Call<List<Map>>	-	Collection<Service>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:381
gate	clouddriver	GET	/servicebroker/{account}/serviceInstance	/servicebroker/{}/serviceInstance	/servicebroker/{account}/serviceInstance	CLAIM-S2-R0448	1	-	Call<Map>	-	ServiceInstance	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:387
gate	clouddriver	GET	/functions	/functions	/functions	CLAIM-S2-R0443	1	-	Call<List<Map>>	-	List<Function>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:394
gate	clouddriver	GET	/applications/{name}/functions	/applications/{}/functions	/applications/{application}/functions	CLAIM-S2-R0444	1	-	Call<List<Map>>	-	List<Function>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:400
gate	clouddriver	GET	/artifacts/content-address/{application}/{hash}	/artifacts/content-address/{}/{}	/artifacts/content-address/{application}/{hash}	CLAIM-S2-R0430	1	-	Call<Artifact.StoredView>	-	Artifact.StoredView	typed	0	0	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:406
gate	echo	POST	/webhooks/{type}/{source}	/webhooks/{}/{}	/webhooks/{type}/{source}	CLAIM-S2-R0558	1	Map	Call<Map>	String	WebhooksController.WebhookResponse	typed	1	1	1	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/EchoService.java:20
gate	echo	POST	/webhooks/cdevents/{source}	/webhooks/cdevents/{}	/webhooks/cdevents/{source}	CLAIM-S2-R0560	2	CloudEvent	Call<ResponseEntity<Void>>	CloudEvent	void	typed	0	0	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/EchoService.java:24
gate	echo	POST	/webhooks/{type}/{source}	/webhooks/{}/{}	/webhooks/{type}/{source}	CLAIM-S2-R0558	1	Map	Call<Map>	String	WebhooksController.WebhookResponse	typed	1	1	1	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/EchoService.java:35
gate	echo	GET	/validateCronExpression	/validateCronExpression	/validateCronExpression	CLAIM-S2-R0557	1	-	Call<Map>	-	Map<String, Object>	untyped-return	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/EchoService.java:43
